Scenario,Classifier,CV Macro-F1,Test Accuracy,Test Macro-F1,Test Weighted-F1,Test Macro-AUC,Brier Score,F1 Low,F1 Intermediate,F1 High,Train Time (s)
A,Logistic Regression,0.750981590835279,0.7625368731563422,0.7368373414860643,0.7677218946348915,0.9035528097625614,0.33491561610960835,0.8460111317254174,0.5732484076433121,0.7912524850894632,7.038147449493408
A,Decision Tree,0.8567864728187334,0.8259587020648967,0.8057696169071721,0.8275626017756471,0.9202344043603378,0.2703240221127854,0.9018181818181819,0.6907894736842105,0.8247011952191236,0.9761934280395508
A,Random Forest,0.8763096699707911,0.8687315634218289,0.8515248676815728,0.8674442326168218,0.9647310730328776,0.2007931227298187,0.9246935201401051,0.7676056338028169,0.8622754491017964,17.76242446899414
A,XGBoost,0.8861226337398129,0.8893805309734514,0.8774885913444662,0.889036979281963,0.969759350335963,0.16941232883946805,0.93048128342246,0.8166089965397924,0.8853754940711462,14.846142292022705
B,Logistic Regression,0.7325978893810636,0.8095238095238095,0.7787571292327969,0.8147050364926081,0.9334184109887605,0.2758659109482838,0.8902439024390244,0.6107784431137725,0.8352490421455939,0.10860514640808105
B,Decision Tree,0.8198973932623629,0.8624338624338624,0.8398487282208212,0.8648151692079341,0.9424245944081416,0.2015803672866573,0.9429429429429429,0.7393939393939394,0.8372093023255814,0.516664981842041
B,Random Forest,0.8410922278193546,0.8915343915343915,0.8619219204396346,0.8878915359911695,0.968037028624738,0.21275021403270264,0.9545454545454546,0.7482014388489209,0.8830188679245283,17.241159677505493
B,XGBoost,0.8619976999397719,0.9206349206349206,0.9004447988658515,0.9199376246452269,0.9775679432995116,0.1284123003806287,0.9883040935672515,0.8266666666666667,0.8863636363636364,14.09827208518982
C,Logistic Regression,0.3829306141449197,0.4708994708994709,0.39073664500413524,0.44581378087906937,0.5629349348943254,0.6466178372131509,0.5279503105590062,0.11214953271028037,0.5321100917431193,0.08667683601379395
C,Decision Tree,0.40302452433259955,0.41798941798941797,0.36677513138750406,0.40925661685202736,0.5271909755974103,0.6792150891433292,0.47019867549668876,0.15037593984962405,0.4797507788161994,0.39681172370910645
C,Random Forest,0.3990542479891844,0.4444444444444444,0.37245962583946274,0.4260311654509368,0.540890105787355,0.6580636391773985,0.50625,0.1016949152542373,0.5094339622641509,15.346574306488037
C,XGBoost,0.38091421693176925,0.4523809523809524,0.3851941959121931,0.43374891914152414,0.5449462308900107,0.660782588761178,0.5093167701863354,0.1415929203539823,0.5046728971962616,6.256034851074219
