group_type,group,n,auc,fpr_high,f1_macro,scenario,classifier
Gender,Female,342,0.9110358302330562,0.046511627906976744,0.7463334454050364,A,Logistic Regression
Gender,Male,336,0.8680336001057277,0.16339869281045752,0.6556158328310228,A,Logistic Regression
Age Band,30-45,225,0.8685509139711046,0.03365384615384615,0.6156558443428032,A,Logistic Regression
Age Band,46-60,194,0.8596258976994585,0.13274336283185842,0.7054834667313444,A,Logistic Regression
Age Band,61-75,173,0.9452169363978795,0.05263157894736842,0.779360415602112,A,Logistic Regression
Age Band,76-85,86,0.9204536417317497,0.36363636363636365,0.6752240962767279,A,Logistic Regression
Gender,Female,342,0.9318999933086034,0.06589147286821706,0.8253756038054086,A,Decision Tree
Gender,Male,336,0.8735426987501839,0.09803921568627451,0.7269441712985012,A,Decision Tree
Age Band,30-45,225,0.8673853827451029,0.0673076923076923,0.6882136250128096,A,Decision Tree
Age Band,46-60,194,0.8620681337174468,0.061946902654867256,0.764035528741411,A,Decision Tree
Age Band,61-75,173,0.9325401605620987,0.14035087719298245,0.7784043441938179,A,Decision Tree
Age Band,76-85,86,0.95203853755159,0.09090909090909091,0.8728758169934641,A,Decision Tree
Gender,Female,342,0.9569728160961025,0.011627906976744186,0.8744205287970438,A,Random Forest
Gender,Male,336,0.9495270961306579,0.10457516339869281,0.7956971677559913,A,Random Forest
Age Band,30-45,225,0.94633567864608,0.004807692307692308,0.7998956469886703,A,Random Forest
Age Band,46-60,194,0.9356933762730928,0.07079646017699115,0.7935523936350496,A,Random Forest
Age Band,61-75,173,0.9678494425243654,0.10526315789473684,0.8469284025667004,A,Random Forest
Age Band,76-85,86,0.9724940218737066,0.12121212121212122,0.8708726945569051,A,Random Forest
Gender,Female,342,0.9615007276764823,0.011627906976744186,0.8925407925407925,A,XGBoost
Gender,Male,336,0.9560968522444826,0.11764705882352941,0.8264867016872598,A,XGBoost
Age Band,30-45,225,0.95066153949338,0.019230769230769232,0.7920753485063319,A,XGBoost
Age Band,46-60,194,0.9406093139651966,0.08849557522123894,0.8136390202433453,A,XGBoost
Age Band,61-75,173,0.9732805638135215,0.07017543859649122,0.8847953216374269,A,XGBoost
Age Band,76-85,86,0.9716514409458323,0.09090909090909091,0.8836942992282798,A,XGBoost
Gender,Female,186,0.9365269511564862,0.0738255033557047,0.7413757909777505,B,Logistic Regression
Gender,Male,192,0.9133313615735492,0.09375,0.7415637073236568,B,Logistic Regression
Age Band,30-45,127,0.9501796573616416,0.0,0.7838827838827839,B,Logistic Regression
Age Band,46-60,99,0.892493393435379,0.09375,0.721684202136139,B,Logistic Regression
Age Band,61-75,107,0.9386527844456962,0.14893617021276595,0.8046573323507737,B,Logistic Regression
Age Band,76-85,45,0.9088918517023092,0.4117647058823529,0.6296296296296297,B,Logistic Regression
Gender,Female,186,0.9463977816422556,0.03355704697986577,0.8755109624674842,B,Decision Tree
Gender,Male,192,0.8992927766365266,0.15625,0.7928570607638291,B,Decision Tree
Age Band,30-45,127,0.9931457240742846,0.017094017094017096,0.9074389670134351,B,Decision Tree
Age Band,46-60,99,0.8868282678689378,0.09375,0.7465297230003113,B,Decision Tree
Age Band,61-75,107,0.8978103495962712,0.23404255319148937,0.8389694041867956,B,Decision Tree
Age Band,76-85,45,0.9792355380590675,0.058823529411764705,0.8769355253962999,B,Decision Tree
Gender,Female,186,0.9715170299622201,0.0,0.8849512108994926,B,Random Forest
Gender,Male,192,0.9434306572978448,0.17708333333333334,0.7827128102615358,B,Random Forest
Age Band,30-45,127,0.9975504282298258,0.008547008547008548,0.9298969072164948,B,Random Forest
Age Band,46-60,99,0.9292836588141613,0.046875,0.7836385836385836,B,Random Forest
Age Band,61-75,107,0.9487200155651574,0.2553191489361702,0.810904071773637,B,Random Forest
Age Band,76-85,45,0.9793673225045775,0.058823529411764705,0.8763965963743988,B,Random Forest
Gender,Female,186,0.9678982700697515,0.013422818791946308,0.8842528315674096,B,XGBoost
Gender,Male,192,0.9730488656269906,0.16666666666666666,0.8658514101345318,B,XGBoost
Age Band,30-45,127,1.0,0.008547008547008548,0.9759969028261711,B,XGBoost
Age Band,46-60,99,0.946120142815717,0.046875,0.8692792433945113,B,XGBoost
