Scenario,Classifier,F1_macro,AUC_macro,Brier_High,Gender_AUC_gap,Gender_FPR_gap,Age_AUC_gap,Age_FPR_gap,Gender_DIR
A,Logistic Regression,0.7368373414860643,0.9035528097625614,0.11686125160336056,0.04300223012732851,0.11688706490348078,0.085591038698421,0.3299825174825175,0.29853639623921685
A,Decision Tree,0.7931418672390628,0.9125338614231064,0.10695886617170594,0.05835729455841954,0.03214774281805745,0.08997040383414312,0.07840397453811519,0.4373127941805734
A,Random Forest,0.8513617380156274,0.9641048481668927,0.07944045516662349,0.0074457199654446304,0.09294725642194862,0.0368006456006138,0.11640442890442891,0.3163841807909604
A,XGBoost,0.8710755813501215,0.9678085869225136,0.07460781186819077,0.005403875431999716,0.10601915184678523,0.03267124984832481,0.07167832167832168,0.3274853801169591
B,Logistic Regression,0.7749048698985105,0.9333092865460598,0.0914859270242635,0.023195589582936993,0.019924496644295298,0.057686263926262527,0.4117647058823529,0.36943972835314093
B,Decision Tree,0.8408229429837206,0.9337844937244721,0.09165153298891872,0.047105005005729006,0.12269295302013422,0.10631745620534683,0.21694853609747228,0.3336591723688498
B,Random Forest,0.8481018587401566,0.966319030678286,0.07807891455702469,0.028086372664375303,0.17708333333333334,0.06826676941566445,0.24677214038916165,0.23153451914380466
B,XGBoost,0.8815879884782382,0.9760267917767318,0.06308984756469727,0.005150595557239068,0.15324384787472034,0.05387985718428301,0.2680487361338425,0.2701236056677721
C,Logistic Regression,0.39073664500413524,0.5629349348943254,0.2149495926997595,0.03740816206819375,0.1871504474272931,0.0700392042301815,0.2880844645550528,1.0981468771448182
C,Decision Tree,0.38520840388054206,0.5145409728503694,0.24143135847993152,0.0704575450754879,0.15960570469798663,0.1542952643880134,0.23677032187670483,1.1260997067448681
C,Random Forest,0.3502496871438023,0.5213256865341784,0.23221817244674897,0.05422830911133997,0.09850391498881433,0.10785767579074973,0.2538643389707219,1.067853170189099
C,XGBoost,0.3582124498482928,0.513186772681299,0.24217098951339722,0.044487931695551874,0.1045162192393736,0.10560824482594688,0.24095290052736862,1.0546984572230014
